pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Glycerophospholipid biosynthesis,Reactome,0,,92 (96),1,1,2,C00116;C00346,58 (63),0.0788,0.43,0.279,0.426
Tryptophan Metabolism,SMPDB,0,,19 (19),1,1,2,C00041;C00025,59 (60),0.0812,0.443,0.285,0.434
Amphetamine addiction - Homo sapiens (human),KEGG,0,,65 (68),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
Synthesis of bile acids and bile salts,Reactome,0,,27 (27),1,1,2,C00020;C00245,60 (73),0.0836,0.45,0.291,0.438
UTP and CTP dephosphorylation II,HumanCyc,0,,4 (4),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
PAOs oxidise polyamines to amines,Reactome,0,,2 (2),1,1,1,C00315,11 (11),0.0853,0.45,0.295,0.438
Nitric oxide stimulates guanylate cyclase,Reactome,0,,22 (25),1,1,1,C00327,11 (11),0.0853,0.45,0.295,0.438
Synthesis of UDP-N-acetyl-glucosamine,Reactome,0,,4 (5),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
D-Arginine and D-ornithine metabolism - Homo sapiens (human),KEGG,0,,1 (1),1,1,1,C00077,10 (10),0.0779,0.426,0.277,0.424
superpathway of D-<i>myo</i>-inositol (1_4_5)-trisphosphate metabolism,HumanCyc,0,,19 (20),1,1,1,C03546,11 (11),0.0853,0.45,0.295,0.438
UTP and CTP <i>de novo</i> biosynthesis,HumanCyc,0,,13 (13),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
DARPP-32 events,Reactome,0,,26 (27),1,1,1,C00020,11 (11),0.0853,0.45,0.295,0.438
Fatty acid degradation - Homo sapiens (human),KEGG,1,ADH5,44 (44),0.0787,1,0,,50 (50),1,1,0.279,0.426
Vitamin B1 (thiamin) metabolism,EHMN,0,,3 (4),1,1,1,C00020,11 (11),0.0853,0.45,0.295,0.438
Vitamin H (biotin) metabolism,EHMN,0,,6 (6),1,1,1,C00047,11 (11),0.0853,0.45,0.295,0.438
Herpes simplex infection - Homo sapiens (human),KEGG,1,EEF1D,179 (186),0.285,1,0,,0 (0),1,1,0.285,1
biotin-carboxyl carrier protein assembly,HumanCyc,0,,3 (3),1,1,1,C00020,11 (11),0.0853,0.45,0.295,0.438
Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis,Reactome,0,,12 (12),1,1,1,C00116,11 (11),0.0853,0.45,0.295,0.438
Activation of NMDA receptor upon glutamate binding and postsynaptic events,Reactome,0,,38 (44),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
&beta;-alanine degradation,HumanCyc,0,,2 (2),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
ion channels and their functional role in vascular endothelium,BioCarta,0,,44 (47),1,1,1,C00327,11 (11),0.0853,0.45,0.295,0.438
Cytosolic sensors of pathogen-associated DNA ,Reactome,1,XRCC6,49 (49),0.0872,1,0,,9 (14),1,1,0.3,0.444
IRS-related events triggered by IGF1R,Reactome,0,,87 (93),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Reactome,0,,90 (96),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
PLC-gamma1 signalling,Reactome,0,,33 (35),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
EGFR interacts with phospholipase C-gamma,Reactome,0,,33 (35),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Thromboxane A2 receptor signaling,PID,0,,53 (58),1,1,1,C00327,12 (12),0.0927,0.469,0.313,0.447
D-glucuronate degradation,HumanCyc,0,,2 (2),1,1,1,C00379,12 (13),0.0927,0.469,0.313,0.447
adenine and adenosine salvage III,HumanCyc,0,,3 (3),1,1,1,C00130,12 (12),0.0927,0.469,0.313,0.447
IGF1R signaling cascade,Reactome,0,,90 (96),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
PLCG1 events in ERBB2 signaling,Reactome,0,,34 (36),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Insulin receptor signalling cascade,Reactome,0,,89 (96),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
PI3K Cascade,Reactome,0,,66 (70),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
IRS-mediated signalling,Reactome,0,,83 (89),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,1,IVD,46 (46),0.0821,1,0,,40 (40),1,1,0.287,0.437
Famotidine Action Pathway,SMPDB,0,,10 (11),1,1,1,C00025,12 (13),0.0927,0.469,0.313,0.447
phytol degradation,HumanCyc,0,,2 (2),1,1,1,C00020,12 (14),0.0927,0.469,0.313,0.447
Ca-dependent events,Reactome,0,,28 (30),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Lipoate metabolism,EHMN,0,,7 (7),1,1,1,C00047,12 (12),0.0927,0.469,0.313,0.447
Mono-unsaturated fatty acid beta-oxidation,EHMN,0,,21 (22),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
IRS-related events,Reactome,0,,85 (92),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Gap junction - Homo sapiens (human),KEGG,0,,87 (89),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
DAG and IP3 signaling,Reactome,0,,31 (33),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Respiratory electron transport,Reactome,0,,86 (92),1,1,1,C00020,12 (14),0.0927,0.469,0.313,0.447
Effects of PIP2 hydrolysis,Reactome,0,,25 (25),1,1,1,C00116,12 (12),0.0927,0.469,0.313,0.447
Sphingolipid Metabolism,Wikipathways,0,,19 (19),1,1,1,C00836,12 (12),0.0927,0.469,0.313,0.447
spermine and spermidine degradation I,HumanCyc,0,,5 (5),1,1,1,C00315,12 (13),0.0927,0.469,0.313,0.447
Endothelin Pathways,Wikipathways,0,,30 (30),1,1,1,C00327,12 (12),0.0927,0.469,0.313,0.447
Transport of vitamins_ nucleosides_ and related molecules,Reactome,0,,39 (39),1,1,2,C01571;C00106,64 (64),0.0933,0.471,0.315,0.449
Effects of PIP2 hydrolysis,Wikipathways,0,,0 (0),1,1,1,C00116,11 (12),0.0853,0.45,0.0853,0.45
Signaling by Insulin receptor,Wikipathways,0,,0 (0),1,1,1,C00020,11 (11),0.0853,0.45,0.0853,0.45
Telomere Maintenance,Wikipathways,0,,0 (0),1,1,1,C00020,11 (11),0.0853,0.45,0.0853,0.45
DAG and IP3 signaling,Wikipathways,0,,0 (0),1,1,1,C00020,11 (11),0.0853,0.45,0.0853,0.45
Bile acid and bile salt metabolism,Reactome,0,,35 (36),1,1,2,C00020;C00245,65 (78),0.0958,0.483,0.321,0.456
Phospholipid metabolism,Reactome,0,,144 (148),1,1,2,C00116;C00346,66 (71),0.0983,0.491,0.326,0.461
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,HumanCyc,0,,7 (9),1,1,1,C00041,13 (13),0.1,0.491,0.33,0.461
Circadian entrainment - Homo sapiens (human),KEGG,0,,91 (97),1,1,1,C00025,11 (11),0.0853,0.45,0.295,0.438
CDP-diacylglycerol biosynthesis,HumanCyc,0,,22 (23),1,1,1,C00116,13 (19),0.1,0.491,0.33,0.461
Signaling by Insulin receptor,Reactome,0,,113 (120),1,1,1,C00020,13 (13),0.1,0.491,0.33,0.461
tyrosine degradation,HumanCyc,0,,5 (5),1,1,1,C00025,13 (13),0.1,0.491,0.33,0.461
Lamivudine Metabolism Pathway,SMPDB,0,,18 (18),1,1,1,C00346,13 (13),0.1,0.491,0.33,0.461
GABA shunt,HumanCyc,0,,8 (8),1,1,1,C00025,13 (13),0.1,0.491,0.33,0.461
Methionine salvage pathway,Reactome,0,,6 (6),1,1,1,C00170,13 (17),0.1,0.491,0.33,0.461
Vitamin C metabolism,EHMN,0,,3 (4),1,1,1,C02477,13 (13),0.1,0.491,0.33,0.461
Synthesis of DNA,Reactome,0,,53 (54),1,1,1,C00020,13 (13),0.1,0.491,0.33,0.461
Interconversion of polyamines,Reactome,0,,3 (3),1,1,1,C00315,13 (13),0.1,0.491,0.33,0.461
folate polyglutamylation,HumanCyc,0,,6 (6),1,1,1,C00025,13 (13),0.1,0.491,0.33,0.461
Synthesis of PG,Reactome,0,,9 (9),1,1,1,C00116,13 (13),0.1,0.491,0.33,0.461
Organic anion transporters,Reactome,0,,8 (8),1,1,1,C00025,13 (13),0.1,0.491,0.33,0.461
Transmission across Chemical Synapses,Reactome,1,GLS,195 (213),0.306,1,1,C00025,51 (51),0.34,1,0.34,0.471
Coregulation of Androgen receptor activity,PID,1,XRCC6,60 (63),0.106,1,0,,2 (2),1,1,0.343,0.471
Synthesis of IP2_ IP_ and Ins in the cytosol,Reactome,0,,11 (11),1,1,1,C03546,14 (14),0.107,0.512,0.347,0.471
glutathione-mediated detoxification,HumanCyc,0,,24 (24),1,1,1,C00025,14 (14),0.107,0.512,0.347,0.471
Aflatoxin activation and detoxification,Reactome,0,,22 (25),1,1,1,C00025,14 (25),0.107,0.512,0.347,0.471
Defective ACY1 causes encephalopathy,Reactome,0,,22 (25),1,1,1,C00025,14 (25),0.107,0.512,0.347,0.471
Digestion of dietary carbohydrate,Reactome,0,,10 (10),1,1,1,C01835,14 (14),0.107,0.512,0.347,0.471
eicosapentaenoate biosynthesis,HumanCyc,0,,14 (15),1,1,1,C00020,14 (17),0.107,0.512,0.347,0.471
Telomere C-strand (Lagging Strand) Synthesis,Reactome,0,,23 (23),1,1,1,C00020,14 (14),0.107,0.512,0.347,0.471
Vitamin B2 (riboflavin) metabolism,EHMN,0,,5 (5),1,1,1,C00020,14 (14),0.107,0.512,0.347,0.471
Aquaporin-mediated transport,Reactome,0,,45 (51),1,1,1,C00116,14 (14),0.107,0.512,0.347,0.471
Prolactin signaling pathway - Homo sapiens (human),KEGG,0,,66 (72),1,1,1,C00031,11 (11),0.0853,0.45,0.295,0.438
Extension of Telomeres,Reactome,0,,30 (31),1,1,1,C00020,14 (14),0.107,0.512,0.347,0.471
Telomere Maintenance,Reactome,0,,81 (83),1,1,1,C00020,14 (14),0.107,0.512,0.347,0.471
DNA Replication,Reactome,0,,58 (59),1,1,1,C00020,14 (14),0.107,0.512,0.347,0.471
Glucuronidation,Wikipathways,0,,26 (26),1,1,1,C00031,14 (14),0.107,0.512,0.347,0.471
4-hydroxyproline degradation,HumanCyc,0,,4 (4),1,1,1,C00025,14 (17),0.107,0.512,0.347,0.471
pyrimidine ribonucleosides degradation,HumanCyc,0,,6 (6),1,1,1,C00106,14 (14),0.107,0.512,0.347,0.471
purine ribonucleosides degradation to ribose-1-phosphate,HumanCyc,0,,3 (3),1,1,1,C00385,14 (15),0.107,0.512,0.347,0.471
Interferon Signaling,Reactome,0,,74 (79),1,1,1,C00020,14 (15),0.107,0.512,0.347,0.471
Synaptic vesicle cycle - Homo sapiens (human),KEGG,0,,62 (63),1,1,1,C00025,12 (12),0.0927,0.469,0.313,0.447
Proteasome Degradation,Wikipathways,1,PSMD9,64 (64),0.112,1,0,,1 (1),1,1,0.358,0.485
Glyoxylate metabolism,Reactome,0,,5 (5),1,1,1,C00041,15 (15),0.115,0.54,0.363,0.487
UTP and CTP dephosphorylation I,HumanCyc,0,,3 (3),1,1,1,C00025,15 (15),0.115,0.54,0.363,0.487
Morphine addiction - Homo sapiens (human),KEGG,0,,85 (93),1,1,1,C00020,12 (12),0.0927,0.469,0.313,0.447
Chromosome Maintenance,Reactome,0,,109 (111),1,1,1,C00020,15 (15),0.115,0.54,0.363,0.487
Insulin secretion - Homo sapiens (human),KEGG,0,,85 (86),1,1,1,C00031,13 (13),0.1,0.491,0.33,0.461
Phospholipase C-mediated cascade,Reactome,0,,54 (56),1,1,1,C00020,15 (15),0.115,0.54,0.363,0.487
serotonin degradation,HumanCyc,0,,14 (15),1,1,1,C00097,15 (20),0.115,0.54,0.363,0.487
PTM- gamma carboxylation_ hypusine formation and arylsulfatase activation,Wikipathways,0,,0 (0),1,1,1,C00315,13 (13),0.1,0.491,0.1,0.491
GABA synthesis_ release_ reuptake and degradation,Wikipathways,0,,0 (0),1,1,1,C00025,13 (13),0.1,0.491,0.1,0.491
Cell Cycle_ Mitotic,Reactome,1,SEC13,430 (443),0.558,1,1,C00020,29 (29),0.21,0.847,0.368,0.493
cGMP-PKG signaling pathway - Homo sapiens (human),KEGG,0,,163 (167),1,1,1,C00020,14 (14),0.107,0.512,0.347,0.471
TCR signaling,Reactome,1,EVL,67 (74),0.117,1,0,,11 (11),1,1,0.369,0.493
Regulation of Telomerase,PID,1,XRCC6,68 (71),0.119,1,0,,1 (1),1,1,0.372,0.497
GABA synthesis_ release_ reuptake and degradation,Reactome,0,,20 (21),1,1,1,C00025,16 (16),0.122,0.566,0.378,0.501
VEGFR2 mediated vascular permeability,Reactome,0,,28 (29),1,1,1,C00327,16 (16),0.122,0.566,0.378,0.501
Thyroxine biosynthesis,Reactome,0,,8 (8),1,1,1,C00041,16 (16),0.122,0.566,0.378,0.501
isoleucine degradation,HumanCyc,0,,12 (12),1,1,1,C00025,16 (16),0.122,0.566,0.378,0.501
Omega-3 fatty acid metabolism,EHMN,0,,18 (19),1,1,1,C00020,16 (16),0.122,0.566,0.378,0.501
(S)-reticuline biosynthesis,HumanCyc,0,,1 (1),1,1,1,C00025,16 (16),0.122,0.566,0.378,0.501
S Phase,Wikipathways,0,,0 (0),1,1,1,C00020,14 (14),0.107,0.512,0.107,0.512
Retinol metabolism - Homo sapiens (human),KEGG,1,ADH5,62 (64),0.109,1,0,,24 (24),1,1,0.351,0.476
Phagosomal maturation (early endosomal stage),Reactome,0,,33 (34),1,1,1,C00327,17 (22),0.129,0.59,0.393,0.513
fatty acid &alpha;-oxidation,HumanCyc,0,,5 (5),1,1,1,C00020,17 (20),0.129,0.59,0.393,0.513
stearate biosynthesis,HumanCyc,0,,13 (13),1,1,1,C00020,17 (17),0.129,0.59,0.393,0.513
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome,0,,14 (14),1,1,1,C00020,17 (28),0.129,0.59,0.393,0.513
cysteine biosynthesis,HumanCyc,0,,8 (9),1,1,1,C00097,17 (17),0.129,0.59,0.393,0.513
Synthesis of PE,Reactome,0,,13 (14),1,1,1,C00346,17 (18),0.129,0.59,0.393,0.513
Metabolism of folate and pterines,Reactome,0,,10 (11),1,1,1,C00025,17 (20),0.129,0.59,0.393,0.513
S Phase,Reactome,0,,78 (79),1,1,1,C00020,17 (17),0.129,0.59,0.393,0.513
Digestion of dietary lipid,Reactome,0,,5 (6),1,1,1,C00116,17 (17),0.129,0.59,0.393,0.513
fatty acid &alpha;-oxidation III,HumanCyc,0,,3 (3),1,1,1,C00020,17 (23),0.129,0.59,0.393,0.513
Cell Cycle,Reactome,1,SEC13,477 (492),0.596,1,1,C00020,31 (31),0.223,0.892,0.401,0.523
Parkinson_s disease - Homo sapiens (human),KEGG,0,,141 (143),1,1,1,C00020,15 (15),0.115,0.54,0.363,0.487
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell,Reactome,0,,133 (149),1,1,1,C00025,18 (18),0.136,0.616,0.407,0.527
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Reactome,0,,7 (7),1,1,1,C00106,18 (18),0.136,0.616,0.407,0.527
PLC beta mediated events,Reactome,0,,43 (45),1,1,1,C00020,18 (18),0.136,0.616,0.407,0.527
Amine Oxidase reactions,Reactome,0,,4 (4),1,1,1,C00315,18 (18),0.136,0.616,0.407,0.527
G-protein mediated events,Reactome,0,,44 (46),1,1,1,C00020,18 (18),0.136,0.616,0.407,0.527
Alanine and aspartate metabolism,Wikipathways,0,,12 (12),1,1,1,C00158,18 (18),0.136,0.616,0.407,0.527
Neuronal System,Reactome,1,GLS,274 (294),0.403,1,1,C00025,51 (51),0.34,1,0.409,0.529
HIF-1 signaling pathway - Homo sapiens (human),KEGG,0,,104 (106),1,1,1,C00031,15 (15),0.115,0.54,0.363,0.487
Drug metabolism - cytochrome P450 - Homo sapiens (human),KEGG,1,ADH5,67 (68),0.117,1,0,,88 (88),1,1,0.369,0.493
GLUT-1 deficiency syndrome,SMPDB,0,,11 (11),1,1,1,C00031,19 (19),0.143,0.636,0.421,0.535
Congenital disorder of glycosylation CDG-IId,SMPDB,0,,11 (11),1,1,1,C00031,19 (19),0.143,0.636,0.421,0.535
Lactose Synthesis,SMPDB,0,,11 (11),1,1,1,C00031,19 (19),0.143,0.636,0.421,0.535
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,SMPDB,0,,8 (8),1,1,1,C00020,19 (19),0.143,0.636,0.421,0.535
Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),SMPDB,0,,8 (8),1,1,1,C00020,19 (19),0.143,0.636,0.421,0.535
Riboflavin Metabolism,SMPDB,0,,5 (5),1,1,1,C00020,19 (19),0.143,0.636,0.421,0.535
Butyrate Metabolism,SMPDB,0,,8 (8),1,1,1,C00020,19 (19),0.143,0.636,0.421,0.535
Di-unsaturated fatty acid beta-oxidation,EHMN,0,,23 (24),1,1,1,C00020,19 (19),0.143,0.636,0.421,0.535
UMP biosynthesis,HumanCyc,0,,2 (2),1,1,1,C00025,19 (20),0.143,0.636,0.421,0.535
Cytokine Signaling in Immune system,Reactome,0,,182 (198),1,1,1,C00020,19 (22),0.143,0.636,0.421,0.535
inosine-5_-phosphate biosynthesis,HumanCyc,0,,3 (4),1,1,1,C00130,19 (19),0.143,0.636,0.421,0.535
Class I MHC mediated antigen processing & presentation,Wikipathways,0,,0 (0),1,1,1,C00020,15 (15),0.115,0.54,0.115,0.54
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),KEGG,1,ADH5,73 (74),0.127,1,0,,121 (121),1,1,0.39,0.513
valine degradation,HumanCyc,0,,13 (13),1,1,1,C00025,20 (20),0.15,0.653,0.434,0.542
Carnitine Synthesis,SMPDB,0,,5 (5),1,1,1,C00047,20 (20),0.15,0.653,0.434,0.542
Respiratory electron transport_ ATP synthesis by chemiosmotic coupling_ and heat production by uncoupling proteins.,Reactome,0,,107 (113),1,1,1,C00020,20 (22),0.15,0.653,0.434,0.542
DAP12 interactions,Reactome,0,,178 (189),1,1,1,C00020,20 (20),0.15,0.653,0.434,0.542
5-aminoimidazole ribonucleotide biosynthesis,HumanCyc,0,,3 (3),1,1,1,C00025,20 (20),0.15,0.653,0.434,0.542
Trans-sulfuration and one carbon metabolism,Wikipathways,0,,31 (31),1,1,1,C00097,20 (20),0.15,0.653,0.434,0.542
Synthesis of very long-chain fatty acyl-CoAs,Reactome,0,,17 (18),1,1,1,C00020,20 (23),0.15,0.653,0.434,0.542
Downstream signaling of activated FGFR,Reactome,0,,145 (155),1,1,1,C00020,20 (20),0.15,0.653,0.434,0.542
Signaling by FGFR,Reactome,0,,158 (168),1,1,1,C00020,20 (20),0.15,0.653,0.434,0.542
DAP12 signaling,Reactome,0,,160 (171),1,1,1,C00020,20 (20),0.15,0.653,0.434,0.542
Downstream signal transduction,Reactome,0,,157 (168),1,1,1,C00020,20 (20),0.15,0.653,0.434,0.542
Alpha-oxidation of phytanate,Reactome,0,,4 (4),1,1,1,C00020,20 (23),0.15,0.653,0.434,0.542
Signaling by ERBB2,Reactome,0,,159 (169),1,1,1,C00020,20 (20),0.15,0.653,0.434,0.542
eNOS activation,Reactome,0,,9 (9),1,1,1,C00327,20 (20),0.15,0.653,0.434,0.542
Chemical carcinogenesis - Homo sapiens (human),KEGG,1,ADH5,78 (80),0.135,1,0,,99 (99),1,1,0.406,0.527
Signaling by FGFR in disease,Reactome,0,,173 (184),1,1,1,C00020,21 (27),0.157,0.677,0.447,0.554
Synthesis of Leukotrienes (LT) and Eoxins (EX),Reactome,0,,24 (27),1,1,1,C00025,21 (28),0.157,0.677,0.447,0.554
Abnormal metabolism in phenylketonuria,Reactome,0,,6 (7),1,1,1,C00041,21 (21),0.157,0.677,0.447,0.554
Signaling by EGFR,Reactome,0,,175 (185),1,1,1,C00020,21 (21),0.157,0.677,0.447,0.554
Pyrimidine salvage reactions,Reactome,0,,10 (10),1,1,1,C00106,21 (21),0.157,0.677,0.447,0.554
tryptophan degradation,HumanCyc,0,,9 (11),1,1,1,C00041,22 (22),0.164,0.694,0.46,0.56
NGF signalling via TRKA from the plasma membrane,Reactome,0,,199 (211),1,1,1,C00020,22 (22),0.164,0.694,0.46,0.56
Familial lipoprotein lipase deficiency,SMPDB,0,,13 (13),1,1,1,C00116,22 (23),0.164,0.694,0.46,0.56
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,15 (15),1,1,1,C00025,22 (23),0.164,0.694,0.46,0.56
Glycerolipid Metabolism,SMPDB,0,,13 (13),1,1,1,C00116,22 (23),0.164,0.694,0.46,0.56
Glycerol Kinase Deficiency,SMPDB,0,,13 (13),1,1,1,C00116,22 (23),0.164,0.694,0.46,0.56
D-glyceric acidura,SMPDB,0,,13 (13),1,1,1,C00116,22 (23),0.164,0.694,0.46,0.56
Phytanic acid peroxisomal oxidation,EHMN,0,,16 (17),1,1,1,C00020,22 (22),0.164,0.694,0.46,0.56
TCA cycle,HumanCyc,0,,19 (22),1,1,1,C00158,22 (23),0.164,0.694,0.46,0.56
Linoleic acid (LA) metabolism,Reactome,0,,7 (7),1,1,1,C00020,22 (24),0.164,0.694,0.46,0.56
Opioid Signalling,Reactome,0,,78 (83),1,1,1,C00020,22 (22),0.164,0.694,0.46,0.56
fatty acid activation,HumanCyc,0,,8 (9),1,1,1,C00020,22 (38),0.164,0.694,0.46,0.56
Signaling by Overexpressed Wild-Type EGFR in Cancer,Reactome,0,,175 (185),1,1,1,C00020,22 (25),0.164,0.694,0.46,0.56
Inositol Phosphate Metabolism,SMPDB,0,,13 (14),1,1,1,C03546,22 (23),0.164,0.694,0.46,0.56
TCA Cycle and PDHc,Wikipathways,0,,0 (0),1,1,1,C00158,16 (16),0.122,0.566,0.122,0.566
Fc epsilon receptor (FCERI) signaling,Wikipathways,0,,0 (0),1,1,1,C00020,16 (16),0.122,0.566,0.122,0.566
Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell,Wikipathways,0,,0 (0),1,1,1,C00025,16 (16),0.122,0.566,0.122,0.566
TCA Cycle,Wikipathways,0,,17 (17),1,1,1,C00158,23 (24),0.17,0.722,0.472,0.574
Omega-6 fatty acid metabolism,EHMN,0,,30 (31),1,1,1,C00020,23 (23),0.17,0.722,0.472,0.574
Resolution of Sister Chromatid Cohesion,Reactome,1,SEC13,101 (102),0.172,1,0,,6 (6),1,1,0.474,0.576
Platelet homeostasis,Reactome,0,,73 (79),1,1,1,C00327,24 (24),0.177,0.742,0.484,0.582
Glycolysis,SMPDB,0,,15 (15),1,1,1,C00031,24 (24),0.177,0.742,0.484,0.582
Glycogenosis_ Type VII. Tarui disease,SMPDB,0,,15 (15),1,1,1,C00031,24 (24),0.177,0.742,0.484,0.582
Mercaptopurine Metabolism Pathway,SMPDB,0,,15 (15),1,1,1,C00020,24 (24),0.177,0.742,0.484,0.582
Linoleate metabolism,EHMN,0,,70 (76),1,1,1,C01601,24 (24),0.177,0.742,0.484,0.582
Signaling by EGFRvIII in Cancer,Reactome,0,,177 (187),1,1,1,C00020,24 (26),0.177,0.742,0.484,0.582
Fanconi-bickel syndrome,SMPDB,0,,15 (15),1,1,1,C00031,24 (24),0.177,0.742,0.484,0.582
Signaling by PDGF,Reactome,0,,178 (191),1,1,1,C00020,24 (24),0.177,0.742,0.484,0.582
Signalling by NGF,Reactome,0,,279 (297),1,1,1,C00020,25 (25),0.184,0.767,0.495,0.594
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,SMPDB,0,,8 (8),1,1,1,C00020,25 (25),0.184,0.767,0.495,0.594
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,SMPDB,0,,10 (10),1,1,1,C00020,25 (26),0.184,0.767,0.495,0.594
Mitotic Prometaphase,Reactome,1,SEC13,110 (112),0.186,1,0,,6 (6),1,1,0.498,0.597
VEGFA-VEGFR2 Pathway,Reactome,0,,104 (108),1,1,1,C00327,26 (26),0.19,0.792,0.506,0.605
Signaling by VEGF,Reactome,0,,112 (117),1,1,1,C00327,26 (26),0.19,0.792,0.506,0.605
Bile secretion - Homo sapiens (human),KEGG,0,,72 (72),1,1,3,C00031;C00366;C00315,162 (162),0.14,0.635,0.416,0.535
Nitrogen metabolism - Homo sapiens (human),KEGG,0,,17 (17),1,1,1,C00025,19 (19),0.143,0.636,0.421,0.535
Leukotriene metabolism,EHMN,0,,100 (105),1,1,1,C00020,27 (27),0.197,0.813,0.517,0.613
G alpha (s) signalling events,Reactome,0,,117 (129),1,1,1,C00020,27 (27),0.197,0.813,0.517,0.613
Citric acid cycle (TCA cycle),Reactome,0,,19 (22),1,1,1,C00158,27 (27),0.197,0.813,0.517,0.613
Signaling by EGFR in Cancer,Reactome,0,,177 (187),1,1,1,C00020,27 (34),0.197,0.813,0.517,0.613
Signaling by Ligand-Responsive EGFR Variants in Cancer,Reactome,0,,177 (187),1,1,1,C00020,27 (34),0.197,0.813,0.517,0.613
Respiratory electron transport_ ATP synthesis by chemiosmotic coupling_ and heat production by uncoupling proteins.,Wikipathways,0,,0 (0),1,1,1,C00020,18 (20),0.136,0.616,0.136,0.616
Separation of Sister Chromatids,Reactome,1,SEC13,119 (126),0.199,1,0,,2 (2),1,1,0.521,0.617
MicroRNAs in cancer - Homo sapiens (human),KEGG,1,GLS,291 (297),0.422,1,0,,0 (0),1,1,0.422,1
Folate malabsorption_ hereditary,SMPDB,0,,14 (14),1,1,1,C00025,28 (28),0.203,0.83,0.527,0.618
Citrate cycle (TCA cycle) - Homo sapiens (human),KEGG,0,,30 (30),1,1,1,C00158,20 (20),0.15,0.653,0.434,0.542
Pentose Phosphate Pathway,SMPDB,0,,14 (14),1,1,1,C00020,28 (28),0.203,0.83,0.527,0.618
Homocystinuria due to defect of N(5_10)-methylene THF deficiency,SMPDB,0,,14 (14),1,1,1,C00025,28 (28),0.203,0.83,0.527,0.618
Folate Metabolism,SMPDB,0,,14 (14),1,1,1,C00025,28 (28),0.203,0.83,0.527,0.618
Glucose-6-phosphate dehydrogenase deficiency,SMPDB,0,,14 (14),1,1,1,C00020,28 (28),0.203,0.83,0.527,0.618
Ribose-5-phosphate isomerase deficiency,SMPDB,0,,14 (14),1,1,1,C00020,28 (28),0.203,0.83,0.527,0.618
Transaldolase deficiency,SMPDB,0,,14 (14),1,1,1,C00020,28 (28),0.203,0.83,0.527,0.618
Inositol phosphate metabolism,Reactome,0,,46 (47),1,1,1,C03546,29 (37),0.21,0.847,0.538,0.627
Latent infection of Homo sapiens with Mycobacterium tuberculosis,Reactome,0,,33 (34),1,1,1,C00327,29 (39),0.21,0.847,0.538,0.627
Methotrexate Action Pathway,SMPDB,0,,14 (14),1,1,1,C00025,29 (29),0.21,0.847,0.538,0.627
alpha-linolenic acid (ALA) metabolism,Reactome,0,,12 (12),1,1,1,C00020,29 (32),0.21,0.847,0.538,0.627
Pyrimidine biosynthesis,Reactome,0,,6 (6),1,1,1,C00025,29 (29),0.21,0.847,0.538,0.627
Mitotic Anaphase,Reactome,1,SEC13,130 (137),0.216,1,0,,4 (4),1,1,0.547,0.635
Eukaryotic Translation Termination,Reactome,1,RPL9,130 (139),0.216,1,0,,5 (6),1,1,0.547,0.635
Caffeine metabolism - Homo sapiens (human),KEGG,0,,5 (5),1,1,1,C00385,21 (21),0.157,0.677,0.447,0.554
